municipio,prioridad,presupuesto_asignado_MXN,porcentaje
Aquila,4.3,8788971.7,87.8897
Cabo Corrientes,4.05,844268.84,8.4427
Ixtlán,4.05,263716.93,2.6372
Tuzantla,3.6999999999999997,91523.65,0.9152
Coahuayana,4.05,10628.65,0.1063
La Huacana,3.6999999999999997,895.51,0.009
Colima,2.75,0.0,0.0
Chinicuila,3.6,0.0,0.0
Chilchota,2.6999999999999997,0.0,0.0
Cherán,2.6999999999999997,0.0,0.0
Chavinda,2.8,0.0,0.0
Charapan,2.6999999999999997,0.0,0.0
Charo,2.4499999999999997,0.0,0.0
Cuitzeo,2.55,0.0,0.0
Cotija,2.4499999999999997,0.0,0.0
Copándaro,2.8,0.0,0.0
Contepec,2.4499999999999997,0.0,0.0
Coeneo,2.4499999999999997,0.0,0.0
Chucándiro,2.4499999999999997,0.0,0.0
Ecuandureo,2.8,0.0,0.0
Churintzio,2.4499999999999997,0.0,0.0
Churumuco,3.9499999999999997,0.0,0.0
Epitacio Huerta,2.4499999999999997,0.0,0.0
Erongarícuaro,2.4499999999999997,0.0,0.0
Gabriel Zamora,3.6999999999999997,0.0,0.0
Hidalgo,2.1999999999999997,0.0,0.0
Huandacareo,2.55,0.0,0.0
Huaniqueo,2.4499999999999997,0.0,0.0
Huetamo,3.5999999999999996,0.0,0.0
Huiramba,2.1999999999999997,0.0,0.0
Indaparapeo,2.1999999999999997,0.0,0.0
Irimbo,2.4499999999999997,0.0,0.0
Jacona,2.4499999999999997,0.0,0.0
Jiquilpan,2.0999999999999996,0.0,0.0
Coalcomán de Vázquez Pallares,3.35,0.0,0.0
Carácuaro,3.35,0.0,0.0
Jungapeo,2.8,0.0,0.0
Buenavista,3.1,0.0,0.0
Tuxcueca,2.9,0.0,0.0
Tuxpan,2.4499999999999997,0.0,0.0
Unión de San Antonio,1.9,0.0,0.0
Unión de Tula,3.1,0.0,0.0
Valle de Guadalupe,1.9,0.0,0.0
Valle de Juárez,2.4499999999999997,0.0,0.0
San Gabriel,2.1999999999999997,0.0,0.0
Villa Corona,2.55,0.0,0.0
Villa Guerrero,2.4499999999999997,0.0,0.0
Villa Hidalgo,1.9,0.0,0.0
Cañadas de Obregón,2.15,0.0,0.0
Yahualica de González Gallo,2.15,0.0,0.0
Zacoalco de Torres,2.1999999999999997,0.0,0.0
Zapopan,1.8499999999999999,0.0,0.0
Zapotiltic,2.55,0.0,0.0
Zapotitlán de Vadillo,2.4499999999999997,0.0,0.0
Zapotlán del Rey,2.6,0.0,0.0
Zapotlanejo,2.1999999999999997,0.0,0.0
San Ignacio Cerro Gordo,1.9,0.0,0.0
Acuitzio,2.4499999999999997,0.0,0.0
Aguililla,3.35,0.0,0.0
Álvaro Obregón,3.4,0.0,0.0
Angamacutiro,2.8,0.0,0.0
Angangueo,2.6999999999999997,0.0,0.0
Apatzingán,3.3499999999999996,0.0,0.0
Aporo,2.6999999999999997,0.0,0.0
Ario,2.4499999999999997,0.0,0.0
Arteaga,3.6999999999999997,0.0,0.0
Briseñas,3.15,0.0,0.0
Juárez,2.8,0.0,0.0
Lagunillas,2.1999999999999997,0.0,0.0
Tototlán,2.25,0.0,0.0
Susupuato,2.6999999999999997,0.0,0.0
Tancítaro,3.35,0.0,0.0
Tangamandapio,2.4499999999999997,0.0,0.0
Tangancícuaro,2.4499999999999997,0.0,0.0
Tanhuato,2.8,0.0,0.0
Taretan,2.4499999999999997,0.0,0.0
Tarímbaro,2.1999999999999997,0.0,0.0
Tepalcatepec,3.35,0.0,0.0
Tingambato,2.4499999999999997,0.0,0.0
Tingüindín,2.4499999999999997,0.0,0.0
Tiquicheo de Nicolás Romero,3.6999999999999997,0.0,0.0
Tlalpujahua,2.3499999999999996,0.0,0.0
Tlazazalca,2.4499999999999997,0.0,0.0
Tocumbo,2.4499999999999997,0.0,0.0
Tumbiscatío,3.6,0.0,0.0
Turicato,3.35,0.0,0.0
Tuxpan,2.4499999999999997,0.0,0.0
Tzintzuntzan,2.4499999999999997,0.0,0.0
Tzitzio,3.35,0.0,0.0
Uruapan,2.75,0.0,0.0
Venustiano Carranza,2.8,0.0,0.0
Villamar,2.55,0.0,0.0
Vista Hermosa,2.8,0.0,0.0
Yurécuaro,2.9,0.0,0.0
Zacapu,2.0999999999999996,0.0,0.0
Zamora,2.4499999999999997,0.0,0.0
Zináparo,2.4499999999999997,0.0,0.0
